Claim_ID,Policy_ID,Claim_Date,Incident_Date,Claim_Type,Claim_Channel,Claim_Amount,Estimated_Loss,Claim_Status,Claim_Priority,Documents_Submitted,Surveyor_Assigned,Fraud_Flag,Fraud_Score,Settlement_Amount,Settlement_Days,Approval_Date,Rejection_Reason,Hospital_Garage_Name,Incident_City,Incident_State
CL00354,P0336,2025-01-01,2024-12-20,Accident,Online,224148,201733,Approved,Medium,Yes,Yes,No,74,224148,52,2025-01-10,,Apollo,Hyderabad,TS
CL00355,P0904,2025-01-01,2024-12-20,Fire,Online,100959,90863, approved ,Low,Yes,Yes,Yes,41,,11,2025-01-10,,Apollo,Hyderabad,TS
CL00356,P0106,2025-01-01,2024-12-20,Fire,Online,304146,273731, approved ,Low,Yes,Yes,No,20,,23,2025-01-10,,Apollo,Hyderabad,TS
CL00357,P0733,2025-01-01,2024-12-20,Fire,Online,367345,330610, approved ,Low,Yes,Yes,No,77,,20,2025-01-10,,Apollo,Hyderabad,TS
CL00358,P0487,2025-01-01,2024-12-20,Theft,Online,368478,331630,Rejected,High,Yes,Yes,Yes,35,,44,2025-01-10,,City Garage,Hyderabad,TS
CL00359,P0248,2025-01-01,2024-12-20,Medical,Online,9930,8937,Rejected,High,Yes,Yes,Yes,29,,2,2025-01-10,,Apollo,Hyderabad,TS
CL00360,P0956,2025-01-01,2024-12-20,Medical,Online,465465,418918,Rejected,Medium,Yes,Yes,Yes,77,,57,2025-01-10,,Apollo,Hyderabad,TS
CL00361,P0841,2025-01-01,2024-12-20,Fire,Online,287114,258402,Rejected,Low,Yes,Yes,No,46,,17,2025-01-10,,City Garage,Hyderabad,TS
CL00362,P0079,2025-01-01,2024-12-20,Fire,Online,117673,105905, approved ,High,Yes,Yes,No,31,,55,2025-01-10,,City Garage,Hyderabad,TS
CL00363,P0319,2025-01-01,2024-12-20,Fire,Online,293849,264464,Approved,Medium,Yes,Yes,No,15,293849,57,2025-01-10,,Apollo,Hyderabad,TS
CL00364,P0945,2025-01-01,2024-12-20,Theft,Online,25715,23143,Pending,Low,Yes,Yes,Yes,63,,50,2025-01-10,,City Garage,Hyderabad,TS
CL00365,P0291,2025-01-01,2024-12-20,Fire,Online,268546,241691,Approved,Low,Yes,Yes,No,68,268546,39,2025-01-10,,City Garage,Hyderabad,TS
CL00366,P0337,2025-01-01,2024-12-20,Accident,Online,55727,50154, approved ,High,Yes,Yes,No,64,,32,2025-01-10,,City Garage,Hyderabad,TS
CL00367,P0201,2025-01-01,2024-12-20,Accident,Online,205046,184541,Pending,Low,Yes,Yes,No,71,,55,2025-01-10,,City Garage,Hyderabad,TS
CL00368,P0825,2025-01-01,2024-12-20,Accident,Online,143436,129092,Pending,Medium,Yes,Yes,Yes,85,,12,2025-01-10,,City Garage,Hyderabad,TS
CL00369,P0464,2025-01-01,2024-12-20,Accident,Online,126373,113735,Approved,Medium,Yes,Yes,Yes,90,126373,42,2025-01-10,,Apollo,Hyderabad,TS
CL00370,P0017,2025-01-01,2024-12-20,Accident,Online,64653,58187,Rejected,Medium,Yes,Yes,Yes,73,,20,2025-01-10,,City Garage,Hyderabad,TS
CL00371,P0873,2025-01-01,2024-12-20,Accident,Online,119208,107287,Approved,Low,Yes,Yes,No,12,119208,55,2025-01-10,,City Garage,Hyderabad,TS
CL00372,P0105,2025-01-01,2024-12-20,Theft,Online,450039,405035,Pending,Low,Yes,Yes,Yes,29,,22,2025-01-10,,Apollo,Hyderabad,TS
CL00373,P0597,2025-01-01,2024-12-20,Theft,Online,196256,176630, approved ,High,Yes,Yes,Yes,87,,35,2025-01-10,,City Garage,Hyderabad,TS
CL00374,P0072,2025-01-01,2024-12-20,Theft,Online,168612,151750, approved ,Medium,Yes,Yes,No,54,,55,2025-01-10,,Apollo,Hyderabad,TS
CL00375,P0068,2025-01-01,2024-12-20,Accident,Online,78871,70983, approved ,Low,Yes,Yes,No,56,,31,2025-01-10,,City Garage,Hyderabad,TS
CL00376,P0144,2025-01-01,2024-12-20,Medical,Online,266313,239681, approved ,Low,Yes,Yes,Yes,74,,28,2025-01-10,,City Garage,Hyderabad,TS
CL00377,P0203,2025-01-01,2024-12-20,Medical,Online,108297,97467, approved ,Medium,Yes,Yes,No,87,,53,2025-01-10,,City Garage,Hyderabad,TS
CL00378,P0537,2025-01-01,2024-12-20,Fire,Online,162548,146293,Approved,Medium,Yes,Yes,No,91,162548,51,2025-01-10,,City Garage,Hyderabad,TS
CL00379,P0642,2025-01-01,2024-12-20,Theft,Online,317838,286054, approved ,Low,Yes,Yes,No,99,,13,2025-01-10,,Apollo,Hyderabad,TS
CL00380,P0218,2025-01-01,2024-12-20,Theft,Online,422721,380448,Pending,Medium,Yes,Yes,No,71,,52,2025-01-10,,Apollo,Hyderabad,TS
CL00381,P0804,2025-01-01,2024-12-20,Accident,Online,457787,412008, approved ,Medium,Yes,Yes,Yes,64,,35,2025-01-10,,City Garage,Hyderabad,TS
CL00382,P0188,2025-01-01,2024-12-20,Theft,Online,491835,442651,Approved,Low,Yes,Yes,Yes,53,491835,18,2025-01-10,,City Garage,Hyderabad,TS
CL00383,P0425,2025-01-01,2024-12-20,Medical,Online,138287,124458, approved ,Low,Yes,Yes,Yes,96,,25,2025-01-10,,City Garage,Hyderabad,TS
CL00384,P0662,2025-01-01,2024-12-20,Medical,Online,151435,136291,Approved,High,Yes,Yes,Yes,93,151435,60,2025-01-10,,Apollo,Hyderabad,TS
CL00385,P0504,2025-01-01,2024-12-20,Theft,Online,320892,288802,Approved,Low,Yes,Yes,No,54,320892,31,2025-01-10,,Apollo,Hyderabad,TS
CL00386,P0975,2025-01-01,2024-12-20,Theft,Online,408923,368030,Pending,Medium,Yes,Yes,No,22,,57,2025-01-10,,Apollo,Hyderabad,TS
CL00387,P0775,2025-01-01,2024-12-20,Medical,Online,248820,223938, approved ,Medium,Yes,Yes,No,33,,22,2025-01-10,,City Garage,Hyderabad,TS
CL00388,P0377,2025-01-01,2024-12-20,Accident,Online,404127,363714,Approved,Medium,Yes,Yes,No,80,404127,33,2025-01-10,,City Garage,Hyderabad,TS
CL00389,P0460,2025-01-01,2024-12-20,Theft,Online,214212,192790, approved ,Medium,Yes,Yes,Yes,66,,21,2025-01-10,,City Garage,Hyderabad,TS
CL00390,P0232,2025-01-01,2024-12-20,Accident,Online,333522,300169, approved ,Low,Yes,Yes,Yes,81,,53,2025-01-10,,Apollo,Hyderabad,TS
CL00391,P0939,2025-01-01,2024-12-20,Accident,Online,217367,195630,Rejected,Low,Yes,Yes,No,16,,31,2025-01-10,,Apollo,Hyderabad,TS
CL00392,P0924,2025-01-01,2024-12-20,Medical,Online,74809,67328, approved ,Low,Yes,Yes,No,68,,50,2025-01-10,,Apollo,Hyderabad,TS
CL00393,P0517,2025-01-01,2024-12-20,Accident,Online,362549,326294,Pending,Low,Yes,Yes,No,82,,20,2025-01-10,,City Garage,Hyderabad,TS
CL00394,P0743,2025-01-01,2024-12-20,Theft,Online,326461,293814,Rejected,Medium,Yes,Yes,Yes,10,,4,2025-01-10,,City Garage,Hyderabad,TS
CL00395,P0975,2025-01-01,2024-12-20,Accident,Online,12828,11545,Approved,Low,Yes,Yes,No,87,12828,53,2025-01-10,,Apollo,Hyderabad,TS
CL00396,P0932,2025-01-01,2024-12-20,Medical,Online,401506,361355, approved ,Medium,Yes,Yes,Yes,74,,57,2025-01-10,,Apollo,Hyderabad,TS
CL00397,P0538,2025-01-01,2024-12-20,Accident,Online,429805,386824, approved ,Low,Yes,Yes,No,64,,1,2025-01-10,,City Garage,Hyderabad,TS
CL00398,P0869,2025-01-01,2024-12-20,Accident,Online,273906,246515, approved ,Medium,Yes,Yes,Yes,56,,35,2025-01-10,,Apollo,Hyderabad,TS
CL00399,P0950,2025-01-01,2024-12-20,Theft,Online,351546,316391,Rejected,High,Yes,Yes,No,20,,18,2025-01-10,,City Garage,Hyderabad,TS
CL00400,P0393,2025-01-01,2024-12-20,Fire,Online,301472,271324, approved ,High,Yes,Yes,No,38,,1,2025-01-10,,Apollo,Hyderabad,TS
CL00401,P0274,2025-01-01,2024-12-20,Theft,Online,154989,139490,Approved,Low,Yes,Yes,Yes,37,154989,58,2025-01-10,,Apollo,Hyderabad,TS
CL00402,P0104,2025-01-01,2024-12-20,Medical,Online,473631,426267,Pending,High,Yes,Yes,No,59,,49,2025-01-10,,City Garage,Hyderabad,TS
CL00403,P0025,2025-01-01,2024-12-20,Medical,Online,233915,210523, approved ,Low,Yes,Yes,No,76,,45,2025-01-10,,Apollo,Hyderabad,TS
CL00404,P0414,2025-01-01,2024-12-20,Medical,Online,141767,127590,Rejected,High,Yes,Yes,Yes,95,,58,2025-01-10,,City Garage,Hyderabad,TS
CL00405,P0517,2025-01-01,2024-12-20,Medical,Online,393203,353882,Pending,High,Yes,Yes,Yes,20,,11,2025-01-10,,Apollo,Hyderabad,TS
CL00406,P0758,2025-01-01,2024-12-20,Medical,Online,440086,396077,Rejected,High,Yes,Yes,Yes,30,,33,2025-01-10,,Apollo,Hyderabad,TS
CL00407,P0619,2025-01-01,2024-12-20,Fire,Online,355899,320309,Pending,Medium,Yes,Yes,Yes,68,,6,2025-01-10,,Apollo,Hyderabad,TS
CL00408,P0563,2025-01-01,2024-12-20,Medical,Online,183069,164762,Pending,Low,Yes,Yes,No,27,,5,2025-01-10,,City Garage,Hyderabad,TS
CL00409,P0164,2025-01-01,2024-12-20,Medical,Online,424565,382108,Pending,Low,Yes,Yes,Yes,42,,14,2025-01-10,,City Garage,Hyderabad,TS
CL00410,P0913,2025-01-01,2024-12-20,Fire,Online,232291,209061,Rejected,Low,Yes,Yes,Yes,7,,4,2025-01-10,,Apollo,Hyderabad,TS
CL00411,P0927,2025-01-01,2024-12-20,Fire,Online,391067,351960,Rejected,High,Yes,Yes,No,52,,8,2025-01-10,,Apollo,Hyderabad,TS
CL00412,P0410,2025-01-01,2024-12-20,Accident,Online,270065,243058,Rejected,High,Yes,Yes,No,16,,54,2025-01-10,,City Garage,Hyderabad,TS
CL00413,P0782,2025-01-01,2024-12-20,Fire,Online,403877,363489,Rejected,High,Yes,Yes,No,46,,58,2025-01-10,,Apollo,Hyderabad,TS
CL00414,P0269,2025-01-01,2024-12-20,Fire,Online,44022,39619,Pending,Low,Yes,Yes,Yes,8,,33,2025-01-10,,City Garage,Hyderabad,TS
CL00415,P0641,2025-01-01,2024-12-20,Medical,Online,440764,396687, approved ,Low,Yes,Yes,Yes,68,,21,2025-01-10,,Apollo,Hyderabad,TS
CL00416,P0718,2025-01-01,2024-12-20,Medical,Online,27117,24405,Approved,Medium,Yes,Yes,Yes,69,27117,1,2025-01-10,,Apollo,Hyderabad,TS
CL00417,P0717,2025-01-01,2024-12-20,Accident,Online,113186,101867, approved ,High,Yes,Yes,No,2,,54,2025-01-10,,Apollo,Hyderabad,TS
CL00418,P0718,2025-01-01,2024-12-20,Medical,Online,53372,48034,Pending,Low,Yes,Yes,No,83,,17,2025-01-10,,City Garage,Hyderabad,TS
CL00419,P0539,2025-01-01,2024-12-20,Accident,Online,482581,434322,Approved,Low,Yes,Yes,No,34,482581,40,2025-01-10,,City Garage,Hyderabad,TS
CL00420,P0428,2025-01-01,2024-12-20,Accident,Online,260009,234008,Approved,Low,Yes,Yes,Yes,65,260009,10,2025-01-10,,Apollo,Hyderabad,TS
CL00421,P0200,2025-01-01,2024-12-20,Fire,Online,217254,195528,Pending,Medium,Yes,Yes,No,77,,24,2025-01-10,,Apollo,Hyderabad,TS
CL00422,P0997,2025-01-01,2024-12-20,Fire,Online,455167,409650, approved ,Low,Yes,Yes,No,47,,13,2025-01-10,,Apollo,Hyderabad,TS
CL00423,P0420,2025-01-01,2024-12-20,Medical,Online,46893,42203,Rejected,Low,Yes,Yes,No,62,,51,2025-01-10,,City Garage,Hyderabad,TS
CL00424,P0847,2025-01-01,2024-12-20,Medical,Online,460824,414741,Approved,Low,Yes,Yes,Yes,20,460824,22,2025-01-10,,Apollo,Hyderabad,TS
CL00425,P0848,2025-01-01,2024-12-20,Theft,Online,108022,97219,Rejected,Low,Yes,Yes,Yes,100,,25,2025-01-10,,City Garage,Hyderabad,TS
CL00426,P0042,2025-01-01,2024-12-20,Theft,Online,319291,287361,Approved,High,Yes,Yes,Yes,47,319291,28,2025-01-10,,City Garage,Hyderabad,TS
CL00427,P0753,2025-01-01,2024-12-20,Accident,Online,10216,9194,Pending,Low,Yes,Yes,Yes,18,,25,2025-01-10,,City Garage,Hyderabad,TS
CL00428,P0685,2025-01-01,2024-12-20,Medical,Online,318514,286662, approved ,High,Yes,Yes,Yes,80,,33,2025-01-10,,Apollo,Hyderabad,TS
CL00429,P0429,2025-01-01,2024-12-20,Fire,Online,249504,224553,Pending,Medium,Yes,Yes,No,15,,8,2025-01-10,,City Garage,Hyderabad,TS
CL00430,P0452,2025-01-01,2024-12-20,Accident,Online,94081,84672,Rejected,Medium,Yes,Yes,No,32,,2,2025-01-10,,Apollo,Hyderabad,TS
CL00431,P0070,2025-01-01,2024-12-20,Theft,Online,393067,353760, approved ,Medium,Yes,Yes,No,52,,46,2025-01-10,,City Garage,Hyderabad,TS
CL00432,P0517,2025-01-01,2024-12-20,Theft,Online,305402,274861,Approved,Medium,Yes,Yes,No,41,305402,37,2025-01-10,,City Garage,Hyderabad,TS
CL00433,P0987,2025-01-01,2024-12-20,Accident,Online,291616,262454,Pending,Low,Yes,Yes,Yes,79,,25,2025-01-10,,Apollo,Hyderabad,TS
CL00434,P0243,2025-01-01,2024-12-20,Accident,Online,292460,263214,Rejected,High,Yes,Yes,Yes,34,,12,2025-01-10,,City Garage,Hyderabad,TS
CL00435,P0777,2025-01-01,2024-12-20,Accident,Online,32126,28913,Rejected,Medium,Yes,Yes,No,48,,11,2025-01-10,,Apollo,Hyderabad,TS
CL00436,P0075,2025-01-01,2024-12-20,Fire,Online,407075,366367,Rejected,Medium,Yes,Yes,Yes,50,,51,2025-01-10,,City Garage,Hyderabad,TS
CL00437,P0811,2025-01-01,2024-12-20,Theft,Online,148069,133262, approved ,High,Yes,Yes,Yes,72,,18,2025-01-10,,City Garage,Hyderabad,TS
CL00438,P0174,2025-01-01,2024-12-20,Fire,Online,121147,109032,Pending,Low,Yes,Yes,Yes,97,,43,2025-01-10,,City Garage,Hyderabad,TS
CL00439,P0115,2025-01-01,2024-12-20,Fire,Online,106138,95524, approved ,High,Yes,Yes,Yes,85,,60,2025-01-10,,Apollo,Hyderabad,TS
CL00440,P0634,2025-01-01,2024-12-20,Accident,Online,363327,326994,Approved,Medium,Yes,Yes,No,24,363327,38,2025-01-10,,Apollo,Hyderabad,TS
CL00441,P0003,2025-01-01,2024-12-20,Theft,Online,471990,424791,Approved,High,Yes,Yes,Yes,83,471990,38,2025-01-10,,Apollo,Hyderabad,TS
CL00442,P0149,2025-01-01,2024-12-20,Accident,Online,280377,252339, approved ,Medium,Yes,Yes,Yes,12,,47,2025-01-10,,City Garage,Hyderabad,TS
CL00443,P0594,2025-01-01,2024-12-20,Theft,Online,375412,337870,Approved,Medium,Yes,Yes,Yes,94,375412,42,2025-01-10,,Apollo,Hyderabad,TS
CL00444,P0168,2025-01-01,2024-12-20,Accident,Online,93655,84289, approved ,Medium,Yes,Yes,Yes,99,,9,2025-01-10,,Apollo,Hyderabad,TS
CL00445,P0454,2025-01-01,2024-12-20,Accident,Online,361485,325336,Approved,High,Yes,Yes,Yes,92,361485,29,2025-01-10,,Apollo,Hyderabad,TS
CL00446,P0575,2025-01-01,2024-12-20,Accident,Online,280261,252234,Rejected,Medium,Yes,Yes,No,74,,29,2025-01-10,,City Garage,Hyderabad,TS
CL00447,P0750,2025-01-01,2024-12-20,Theft,Online,340450,306405,Approved,Low,Yes,Yes,No,59,340450,47,2025-01-10,,Apollo,Hyderabad,TS
CL00448,P0347,2025-01-01,2024-12-20,Accident,Online,421049,378944,Rejected,Low,Yes,Yes,Yes,34,,14,2025-01-10,,Apollo,Hyderabad,TS
CL00449,P0149,2025-01-01,2024-12-20,Accident,Online,241314,217182,Pending,Low,Yes,Yes,No,71,,45,2025-01-10,,City Garage,Hyderabad,TS
CL00450,P0321,2025-01-01,2024-12-20,Accident,Online,18214,16392,Rejected,Medium,Yes,Yes,No,79,,22,2025-01-10,,Apollo,Hyderabad,TS
CL00451,P0092,2025-01-01,2024-12-20,Fire,Online,455179,409661, approved ,Low,Yes,Yes,Yes,92,,58,2025-01-10,,Apollo,Hyderabad,TS
CL00452,P0110,2025-01-01,2024-12-20,Fire,Online,213554,192198,Approved,Low,Yes,Yes,Yes,32,213554,44,2025-01-10,,Apollo,Hyderabad,TS
CL00453,P0202,2025-01-01,2024-12-20,Accident,Online,408599,367739,Rejected,Medium,Yes,Yes,Yes,28,,4,2025-01-10,,City Garage,Hyderabad,TS
CL00454,P0875,2025-01-01,2024-12-20,Fire,Online,136445,122800,Rejected,Low,Yes,Yes,No,3,,21,2025-01-10,,Apollo,Hyderabad,TS
CL00455,P0836,2025-01-01,2024-12-20,Fire,Online,209638,188674,Approved,Medium,Yes,Yes,Yes,9,209638,26,2025-01-10,,City Garage,Hyderabad,TS
CL00456,P0175,2025-01-01,2024-12-20,Accident,Online,360080,324072, approved ,Medium,Yes,Yes,Yes,16,,59,2025-01-10,,City Garage,Hyderabad,TS
CL00457,P0157,2025-01-01,2024-12-20,Fire,Online,23707,21336,Approved,Medium,Yes,Yes,Yes,51,23707,16,2025-01-10,,Apollo,Hyderabad,TS
CL00458,P0201,2025-01-01,2024-12-20,Theft,Online,194432,174988,Approved,High,Yes,Yes,No,4,194432,29,2025-01-10,,Apollo,Hyderabad,TS
CL00459,P0919,2025-01-01,2024-12-20,Medical,Online,33046,29741, approved ,Medium,Yes,Yes,No,21,,27,2025-01-10,,City Garage,Hyderabad,TS
CL00460,P0352,2025-01-01,2024-12-20,Theft,Online,404721,364248,Rejected,Low,Yes,Yes,Yes,39,,41,2025-01-10,,City Garage,Hyderabad,TS
CL00461,P0271,2025-01-01,2024-12-20,Theft,Online,270691,243621,Pending,Low,Yes,Yes,No,34,,57,2025-01-10,,Apollo,Hyderabad,TS
CL00462,P0017,2025-01-01,2024-12-20,Accident,Online,309575,278617, approved ,Medium,Yes,Yes,No,55,,47,2025-01-10,,Apollo,Hyderabad,TS
CL00463,P0815,2025-01-01,2024-12-20,Medical,Online,227280,204552,Approved,Medium,Yes,Yes,Yes,60,227280,16,2025-01-10,,Apollo,Hyderabad,TS
CL00464,P0043,2025-01-01,2024-12-20,Fire,Online,309362,278425, approved ,High,Yes,Yes,No,57,,5,2025-01-10,,City Garage,Hyderabad,TS
CL00465,P0588,2025-01-01,2024-12-20,Fire,Online,370912,333820,Rejected,Low,Yes,Yes,Yes,41,,7,2025-01-10,,City Garage,Hyderabad,TS
CL00466,P0593,2025-01-01,2024-12-20,Theft,Online,120301,108270,Approved,High,Yes,Yes,Yes,67,120301,10,2025-01-10,,City Garage,Hyderabad,TS
CL00467,P0157,2025-01-01,2024-12-20,Theft,Online,397151,357435, approved ,Medium,Yes,Yes,Yes,10,,5,2025-01-10,,Apollo,Hyderabad,TS
CL00468,P0151,2025-01-01,2024-12-20,Fire,Online,89983,80984,Rejected,Medium,Yes,Yes,No,44,,3,2025-01-10,,Apollo,Hyderabad,TS
CL00469,P0698,2025-01-01,2024-12-20,Medical,Online,106275,95647,Approved,Low,Yes,Yes,No,99,106275,9,2025-01-10,,City Garage,Hyderabad,TS
CL00470,P0621,2025-01-01,2024-12-20,Fire,Online,49243,44318,Rejected,High,Yes,Yes,No,86,,33,2025-01-10,,City Garage,Hyderabad,TS
CL00471,P0705,2025-01-01,2024-12-20,Accident,Online,193598,174238, approved ,Medium,Yes,Yes,No,50,,9,2025-01-10,,City Garage,Hyderabad,TS
CL00472,P0945,2025-01-01,2024-12-20,Accident,Online,82035,73831,Approved,Low,Yes,Yes,No,89,82035,28,2025-01-10,,City Garage,Hyderabad,TS
CL00473,P0250,2025-01-01,2024-12-20,Medical,Online,96734,87060,Approved,High,Yes,Yes,No,71,96734,11,2025-01-10,,Apollo,Hyderabad,TS
CL00474,P0308,2025-01-01,2024-12-20,Theft,Online,101874,91686, approved ,Medium,Yes,Yes,No,86,,34,2025-01-10,,City Garage,Hyderabad,TS
CL00475,P0566,2025-01-01,2024-12-20,Fire,Online,93381,84042,Approved,High,Yes,Yes,No,32,93381,3,2025-01-10,,Apollo,Hyderabad,TS
CL00476,P0077,2025-01-01,2024-12-20,Theft,Online,220168,198151,Pending,High,Yes,Yes,Yes,50,,22,2025-01-10,,City Garage,Hyderabad,TS
CL00477,P0702,2025-01-01,2024-12-20,Medical,Online,14436,12992, approved ,Low,Yes,Yes,Yes,12,,42,2025-01-10,,Apollo,Hyderabad,TS
CL00478,P0491,2025-01-01,2024-12-20,Theft,Online,445467,400920, approved ,Medium,Yes,Yes,No,63,,37,2025-01-10,,City Garage,Hyderabad,TS
CL00479,P0864,2025-01-01,2024-12-20,Fire,Online,449071,404163,Rejected,High,Yes,Yes,Yes,28,,15,2025-01-10,,City Garage,Hyderabad,TS
CL00480,P0850,2025-01-01,2024-12-20,Fire,Online,202463,182216,Approved,Low,Yes,Yes,No,34,202463,6,2025-01-10,,Apollo,Hyderabad,TS
CL00481,P0147,2025-01-01,2024-12-20,Medical,Online,127307,114576,Rejected,Medium,Yes,Yes,No,1,,6,2025-01-10,,Apollo,Hyderabad,TS
CL00482,P0218,2025-01-01,2024-12-20,Accident,Online,426039,383435,Rejected,Low,Yes,Yes,Yes,85,,37,2025-01-10,,City Garage,Hyderabad,TS
CL00483,P0577,2025-01-01,2024-12-20,Theft,Online,142148,127933,Pending,High,Yes,Yes,No,53,,51,2025-01-10,,City Garage,Hyderabad,TS
CL00484,P0449,2025-01-01,2024-12-20,Fire,Online,275787,248208,Rejected,High,Yes,Yes,No,70,,7,2025-01-10,,Apollo,Hyderabad,TS
CL00485,P0981,2025-01-01,2024-12-20,Fire,Online,328620,295758,Approved,High,Yes,Yes,Yes,66,328620,6,2025-01-10,,Apollo,Hyderabad,TS
CL00486,P0560,2025-01-01,2024-12-20,Fire,Online,392058,352852,Pending,Low,Yes,Yes,Yes,27,,2,2025-01-10,,City Garage,Hyderabad,TS
CL00487,P0258,2025-01-01,2024-12-20,Fire,Online,321224,289101,Rejected,Medium,Yes,Yes,No,65,,36,2025-01-10,,Apollo,Hyderabad,TS
CL00488,P0007,2025-01-01,2024-12-20,Fire,Online,107448,96703,Pending,Medium,Yes,Yes,No,82,,36,2025-01-10,,City Garage,Hyderabad,TS
CL00489,P0418,2025-01-01,2024-12-20,Theft,Online,244449,220004,Rejected,Medium,Yes,Yes,Yes,37,,26,2025-01-10,,Apollo,Hyderabad,TS
CL00490,P0913,2025-01-01,2024-12-20,Accident,Online,475768,428191,Rejected,Medium,Yes,Yes,Yes,19,,52,2025-01-10,,City Garage,Hyderabad,TS
CL00491,P0624,2025-01-01,2024-12-20,Theft,Online,251546,226391, approved ,Medium,Yes,Yes,No,91,,7,2025-01-10,,City Garage,Hyderabad,TS
CL00492,P0880,2025-01-01,2024-12-20,Fire,Online,245946,221351,Approved,High,Yes,Yes,Yes,53,245946,7,2025-01-10,,City Garage,Hyderabad,TS
CL00493,P0955,2025-01-01,2024-12-20,Fire,Online,246222,221599,Approved,High,Yes,Yes,Yes,49,246222,47,2025-01-10,,Apollo,Hyderabad,TS
CL00494,P0093,2025-01-01,2024-12-20,Accident,Online,22815,20533,Approved,Medium,Yes,Yes,No,24,22815,19,2025-01-10,,Apollo,Hyderabad,TS
CL00495,P0955,2025-01-01,2024-12-20,Theft,Online,286964,258267, approved ,Medium,Yes,Yes,No,46,,4,2025-01-10,,City Garage,Hyderabad,TS
CL00496,P0048,2025-01-01,2024-12-20,Medical,Online,172617,155355,Approved,Low,Yes,Yes,Yes,77,172617,27,2025-01-10,,Apollo,Hyderabad,TS
CL00497,P0552,2025-01-01,2024-12-20,Accident,Online,323504,291153, approved ,Low,Yes,Yes,No,86,,36,2025-01-10,,Apollo,Hyderabad,TS
CL00498,P0584,2025-01-01,2024-12-20,Fire,Online,197645,177880, approved ,High,Yes,Yes,Yes,35,,15,2025-01-10,,Apollo,Hyderabad,TS
CL00499,P0294,2025-01-01,2024-12-20,Fire,Online,331284,298155,Approved,Low,Yes,Yes,Yes,96,331284,42,2025-01-10,,Apollo,Hyderabad,TS
CL00500,P0572,2025-01-01,2024-12-20,Medical,Online,77774,69996,Pending,Medium,Yes,Yes,No,14,,5,2025-01-10,,Apollo,Hyderabad,TS
CL00501,P0425,2025-01-01,2024-12-20,Theft,Online,330692,297622,Approved,High,Yes,Yes,No,0,330692,16,2025-01-10,,Apollo,Hyderabad,TS
CL00502,P0324,2025-01-01,2024-12-20,Fire,Online,40395,36355, approved ,High,Yes,Yes,No,56,,36,2025-01-10,,City Garage,Hyderabad,TS
CL00503,P0501,2025-01-01,2024-12-20,Accident,Online,227789,205010,Approved,Low,Yes,Yes,Yes,86,227789,1,2025-01-10,,Apollo,Hyderabad,TS
CL00504,P0106,2025-01-01,2024-12-20,Accident,Online,340642,306577,Pending,Low,Yes,Yes,Yes,99,,19,2025-01-10,,Apollo,Hyderabad,TS
CL00505,P0241,2025-01-01,2024-12-20,Fire,Online,438765,394888,Pending,High,Yes,Yes,No,52,,57,2025-01-10,,Apollo,Hyderabad,TS
CL00506,P0717,2025-01-01,2024-12-20,Fire,Online,133865,120478,Rejected,High,Yes,Yes,Yes,45,,23,2025-01-10,,City Garage,Hyderabad,TS
CL00507,P0117,2025-01-01,2024-12-20,Fire,Online,304437,273993,Rejected,Medium,Yes,Yes,No,34,,27,2025-01-10,,City Garage,Hyderabad,TS
CL00508,P0916,2025-01-01,2024-12-20,Theft,Online,112000,100800,Rejected,Low,Yes,Yes,No,69,,5,2025-01-10,,Apollo,Hyderabad,TS
CL00509,P0572,2025-01-01,2024-12-20,Fire,Online,102792,92512,Rejected,Medium,Yes,Yes,Yes,15,,16,2025-01-10,,Apollo,Hyderabad,TS
CL00510,P0170,2025-01-01,2024-12-20,Fire,Online,223451,201105,Approved,High,Yes,Yes,Yes,10,223451,46,2025-01-10,,Apollo,Hyderabad,TS
CL00511,P0796,2025-01-01,2024-12-20,Theft,Online,394689,355220,Pending,High,Yes,Yes,No,21,,35,2025-01-10,,Apollo,Hyderabad,TS
CL00512,P0044,2025-01-01,2024-12-20,Medical,Online,32303,29072,Rejected,Low,Yes,Yes,No,16,,58,2025-01-10,,Apollo,Hyderabad,TS
CL00513,P0609,2025-01-01,2024-12-20,Theft,Online,282798,254518, approved ,Low,Yes,Yes,No,7,,38,2025-01-10,,City Garage,Hyderabad,TS
CL00514,P0687,2025-01-01,2024-12-20,Accident,Online,349353,314417,Approved,Low,Yes,Yes,Yes,41,349353,40,2025-01-10,,Apollo,Hyderabad,TS
CL00515,P0766,2025-01-01,2024-12-20,Medical,Online,390221,351198,Approved,Medium,Yes,Yes,Yes,44,390221,9,2025-01-10,,Apollo,Hyderabad,TS
CL00516,P0659,2025-01-01,2024-12-20,Fire,Online,89529,80576,Rejected,Low,Yes,Yes,No,5,,12,2025-01-10,,Apollo,Hyderabad,TS
CL00517,P0508,2025-01-01,2024-12-20,Accident,Online,229227,206304,Approved,Low,Yes,Yes,Yes,25,229227,48,2025-01-10,,Apollo,Hyderabad,TS
CL00518,P0688,2025-01-01,2024-12-20,Medical,Online,228596,205736,Rejected,High,Yes,Yes,Yes,19,,59,2025-01-10,,Apollo,Hyderabad,TS
CL00519,P0049,2025-01-01,2024-12-20,Accident,Online,420175,378157,Rejected,Medium,Yes,Yes,No,71,,13,2025-01-10,,Apollo,Hyderabad,TS
